Handle,Title,Body (HTML),Vendor
copy-of-copy-of-inkjet-cartridge,INKJET CARTRIDGE,"<strong>Model no:</strong> F6U62AA<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6983<br><strong>Color:</strong> BLACK<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>Print high-quality documents with Original HP ink cartridges—designed with fraud protection and smart low-ink alerts to deliver worry-free performance and consistent results you can count on.</p>
<p><strong>Features:</strong></p>
<ul>
<li>• Get the most from your HP printer—and your ink. Print all the high-quality photos and documents you need, using Original HP ink cartridges that help ensure your HP printer delivers the consistent results you expect.<br><br>• Rely on Original HP ink cartridges to deliver flawless results. Help ensure the best possible prints for home, school, and work with cartridges built and tested with your HP printer and designed to deliver consistently outstanding prints.<br><br>• It’s easy to save time, money, and hassle with Original HP cartridges that fit how you live, play, and print. Count on consistent, top-quality results you expect from HP at home or on the go.</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Ink<br> <strong>Page Yield Per Package (Up to):</strong>  190<br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong>  Black<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li>• HP DeskJet 2130 All-in-One Printer(F5S28A) <br>• HP DeskJet 3630 All-in-One Printer(F5S43A) <br>• HP ENVY 4520 All-in-One Printer(F0V63A) <br>• HP OfficeJet 3830 All-in-One Printer(F5R95A)<br>• HP OfficeJet 4650 All-in-One Printer(F1H96A)</li>
</ul>
</div>
<!-- split -->",HP
inkjet-cartridge-8,INKJET CARTRIDGE,"<strong>Model no:</strong> C2P22AA<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6962<br><strong>Color:</strong> YELLOW<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>Original HP ink cartridges are formulated to consistently produce professional-quality color documents at a great value. Count on durable prints from cartridges specially designed to work with your HP printer.</p>
<p><strong>Features:</strong></p>
<ul>
<li>• Set your business apart with Original HP ink cartridges that deliver results you can count on. Specially designed cartridges work with your printer to deliver professional results and minimize wasted prints.<br>• Expect the best for your business with cartridges that help you stand out. Print vivid color documents that dry fast, resist water, and last for decades, using Original HP pigment ink cartridges.<br>• Make every dollar work for your business and avoid wasting money on problem prints. Original HP pigment ink cartridges provide a great value.<br>• Make the most of your time—replenishing your Original HP ink cartridges is quick and easy. Confidently choose a cartridge that fits your needs. Receive online orders fast. And enjoy free, easy recycling through HP Planet Partners.</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Ink<br> <strong>Page Yield Per Package (Up to):</strong> 400 <br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong>  YELLOW<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li>• HP Officejet Pro 6835 e-All-in-One Printer (J2D37A)<br>• HP OfficeJet Pro 6830c All-in-One Printer (L3L04A)<br>• HP Officejet Pro 6830 e-All-in-One Printer (M0F56A)<br>• HP OfficeJet Pro 6835 All-in-One Printer Full Pallet Display Shipper (T6T84A)<br><br>• HP Officejet 6820 e-All-in-One Printer (B6T06A)<br>• HP Officejet 6815 e-All-in-One Printer (F0M65A)<br>• HP Officejet 6812 e-All-in-One Printer (G1W52A)</li>
</ul>
</div>
<!-- split -->",HP
copy-of-inkjet-cartridge-3,INKJET CARTRIDGE,"<strong>Model no:</strong> C2P21AA<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6961<br><strong>Color:</strong> MGNTA<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>Original HP ink cartridges are formulated to consistently produce professional-quality color documents at a great value. Count on durable prints from cartridges specially designed to work with your HP printer.</p>
<p><strong>Features:</strong></p>
<ul>
<li>• Set your business apart with Original HP ink cartridges that deliver results you can count on. Specially designed cartridges work with your printer to deliver professional results and minimize wasted prints.<br>• Expect the best for your business with cartridges that help you stand out. Print vivid color documents that dry fast, resist water, and last for decades, using Original HP pigment ink cartridges.<br>• Make every dollar work for your business and avoid wasting money on problem prints. Original HP pigment ink cartridges provide a great value.<br>• Make the most of your time—replenishing your Original HP ink cartridges is quick and easy. Confidently choose a cartridge that fits your needs. Receive online orders fast. And enjoy free, easy recycling through HP Planet Partners.</li>
</ul>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Ink<br> <strong>Page Yield Per Package (Up to):</strong> 400 <br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong>  Magenta<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li>• HP Officejet Pro 6835 e-All-in-One Printer (J2D37A)<br>• HP OfficeJet Pro 6830c All-in-One Printer (L3L04A)<br>• HP Officejet Pro 6830 e-All-in-One Printer (M0F56A)<br>• HP OfficeJet Pro 6835 All-in-One Printer Full Pallet Display Shipper (T6T84A)<br><br>• HP Officejet 6820 e-All-in-One Printer (B6T06A)<br>• HP Officejet 6815 e-All-in-One Printer (F0M65A)<br>• HP Officejet 6812 e-All-in-One Printer (G1W52A)</li>
</ul>
</div>
<!-- split -->",HP
copy-of-inkjet-cartridge-2,INKJET CARTRIDGE,"<strong>Model no:</strong> C2P20AA<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6960<br><strong>Color:</strong> CYAN<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>Original HP ink cartridges are formulated to consistently produce professional-quality color documents at a great value. Count on durable[2] prints from cartridges specially designed to work with your HP printer.</p>
<p><strong>Features:</strong></p>
<ul>
<li>• Set your business apart with Original HP ink cartridges that deliver results you can count on. Specially designed cartridges work with your printer to deliver professional results and minimize wasted prints.<br>• Expect the best for your business with cartridges that help you stand out. Print vivid color documents that dry fast, resist water, and last for decades, using Original HP pigment ink cartridges.<br>• Make every dollar work for your business and avoid wasting money on problem prints. Original HP pigment ink cartridges provide a great value.<br>• Make the most of your time—replenishing your Original HP ink cartridges is quick and easy. Confidently choose a cartridge that fits your needs. Receive online orders fast. And enjoy free, easy recycling through HP Planet Partners.</li>
</ul>
<br><br>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Ink<br> <strong>Page Yield Per Package (Up to):</strong> 400 <br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong>  Cyan<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li>• HP Officejet Pro 6835 e-All-in-One Printer (J2D37A)<br>• HP OfficeJet Pro 6830c All-in-One Printer (L3L04A)<br>• HP Officejet Pro 6830 e-All-in-One Printer (M0F56A)<br>• HP OfficeJet Pro 6835 All-in-One Printer Full Pallet Display Shipper (T6T84A)</li>
<li>• HP Officejet 6820 e-All-in-One Printer (B6T06A)<br>• HP Officejet 6815 e-All-in-One Printer (F0M65A)<br>• HP Officejet 6812 e-All-in-One Printer (G1W52A)</li>
</ul>
</div>
<!-- split -->",HP
inkjet-cartridge-7,INKJET CARTRIDGE,"<strong>Model no:</strong> C2P19AA<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6959 <br><strong>Color:</strong> BLACK<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>Original HP ink cartridges are formulated to consistently produce professional-quality documents at a great value. Count on durable prints from cartridges specially designed to work with your HP printer.</p>
<p><strong>Features:</strong></p>
<ul>
<li>Set your business apart with Original HP ink cartridges that deliver results you can count on. Specially designed cartridges work with your printer to deliver professional results and minimize wasted prints.</li>
<li>Expect the best for your business with cartridges that help you stand out. Print crisp, black text and sharp graphics that dry fast, resist water, and last for decades, using Original HP pigment ink cartridges.</li>
<li>• Make every dollar work for your business and avoid wasting money on problem prints. Original HP pigment ink cartridges provide a great value.</li>
<li> Make the most of your time—replenishing your Original HP ink cartridges is quick and easy. Confidently choose a cartridge that fits your needs. Receive online orders fast. And enjoy free, easy recycling through HP Planet Partners.</li>
</ul>
<br><br><br>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Ink<br> <strong>Page Yield Per Package (Up to):</strong> 400 <br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong>  Black<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li>HP Officejet Pro 6835 e-All-in-One Printer (J2D37A)</li>
<li>HP OfficeJet Pro 6830c All-in-One Printer (L3L04A)</li>
<li>HP Officejet Pro 6830 e-All-in-One Printer (M0F56A)</li>
<li>HP OfficeJet Pro 6835 All-in-One Printer Full Pallet Display Shipper (T6T84A)</li>
<li>HP Officejet 6812 e-All-in-One Printer (G1W52A)</li>
</ul>
</div>
<!-- split -->",HP
copy-of-laserjet-toner-2,INKJET CARTRIDGE,"<strong>Model no:</strong> F6U61AA<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 6958 <br><strong>Color:</strong> Tri-Color<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>Create lab-quality color photos and everyday documents with Original HP ink cartridges—designed with fraud protection and smart low-ink alerts to deliver worry-free performance and consistent results you can count on.</p>
<p><strong>Features:</strong></p>
<ul>
<li>Get the most from your HP printer—and your ink. Print all the high-quality photos and documents you need, using Original HP ink cartridges that help ensure your HP printer delivers the consistent results you expect.</li>
<li>Rely on Original HP ink cartridges to deliver flawless results. Help ensure the best possible prints for home, school, and work with cartridges built and tested with your HP printer and designed to deliver consistently outstanding prints.</li>
<li>It’s easy to save time, money, and hassle with Original HP cartridges that fit how you live, play, and print. Count on consistent, top-quality results you expect from HP at home or on the go.</li>
</ul>
<br><br><br>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Ink<br> <strong>Page Yield Per Package (Up to):</strong> 165 <br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong> Tri-Color<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li>HP DeskJet 1112 Printer(K7B87A)</li>
<li>HP DeskJet 2132 All-in-One Printer(F5S41A)</li>
</ul>
</div>
<!-- split -->",HP
cello-tape,CELLO TAPE,"<p>1INCHX18MMX33M <br><strong>Brand:</strong> LOUIS <br><strong>ALU:</strong> 8890000000000 <br><strong>Size:</strong> 33M <br><strong>Color:</strong> TAN</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">• Ideal for sealing, fixing, mending in office, school, home and industrial applications. <br> • Used where biodegradable tape is required.<br> • Recommended for packing polybag enclosure with garment. Recommended for sealing of cans.</div>
<div class=""container"" id=""tab2C"">• Backing is made from environmental-friendly, biodegradable Cellophane film. The film is transparent, strong but easy to be torn by hand.<br> • Rubber solvent based adhesive provides aggressive adhesion property.<br> • Packaging is available in shrink pack, paper box and tin box.</div>
<!-- split -->",LOUIS
flash-disk,FLASH DISK,"PINSTRIPE<br><strong>Model no:</strong> 64058 <br><strong>Brand:</strong> VERBATIM <br><strong>ALU:</strong> 6943760240580 <br><strong>Size:</strong> 32GB <br><strong>Color:</strong> BLACK<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">USB 2.0<br> 32GB<br> Compatible with Windows 8<br> Features<br> Features<br> With USB ports in almost every computer and popping up in cars, DVD and multimedia players, TV's, photo frames and more, USB drives are an essential accessory. The PinStripe USB Drive from Verbatim has a push-and-pull sliding feature, which protects the USB connection when not in use, eliminating need for a separate cap, which can be easily lost. All this in a lightweight, pinstriped design and available in capacities ranging from 4 to 128GB, the PinStripe USB Drive is the perfect storage solution for all storage needs.</div>
<div class=""container"" id=""tab2C"">PinStripe USB drive makes transporting and sharing files simple<br> The drive features a slim retractable design<br> Compatible with Windows 8<br> Retractable USB Connector - No cap to lose<br> System Requirements: Linux kernel 2.6x and higher, Mac OS 9.x or higher, Windows 7, Vista, XP, 2000<br> Plug Standards<br> Electrical Outlet Plug Type<br> Flash Drive</div>
<!-- split -->",VERBATIM
packing-tape-1,PACKING TAPE,"<p>3INCHX48MMX27M <br> <strong>Color:</strong> CLEAR</p>
<!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Features</a></li>
</ul>
<div class=""container"" id=""tab1C"">The tape is made from BOPP film Louis coating with natural rubber based adhesive. Available in different thickness. Recommended for heavy duty or low temperature applications. This product is suitable for standard carton sealing applications and packaging frozen food or export products.</div>
<div class=""container"" id=""tab2C"">• Polypropylene tape with rubber solvent based adhesive.<br> • High tensile strength and aggressive adhesion properties even in high or low temperature.<br> • Excellent performance adhesive. The Tape can perform with extreme conditions such as hot humid, freezing temperature or heavy duty packaging.<br> • Available in clear, brown and tan color<br><br> <strong>Applications</strong><br><br> • For sealing boxes or other packaging applications subjected to rough shipping conditions or that require a higher sealing performance.<br> • For packaging frozen food and export products.</div>
<!-- split -->",LOUIS
locker-2,LOCKER,<p>STEEL 2 COMP WITH LOCK<br><strong>Model no: CC-A2T</strong><br><strong>Brand:</strong> ASTERS<br><strong>ALU:</strong> 6936<br><strong>Size:</strong> 1'x1'x6'<br><strong>Color:</strong> GREY</p>,None
laserjet-toner-1,LASERJET TONER,"<strong>Model no:</strong> Q6460A<br><strong>Brand:</strong> HP <br><strong>ALU:</strong> 3047 <br><strong>Color:</strong> BLACK <!-- split -->
<ul id=""tabs"">
<li><a href=""#"" id=""tab1"">Description </a></li>
<li><a href=""#"" id=""tab2"">Specifications</a></li>
<li><a href=""#"" id=""tab3"">Compatible printers</a></li>
</ul>
<div class=""container"" id=""tab1C"">
<p><strong>Product Details: </strong></p>
<p>HP 644 LaserJet Printing Supplies deliver fast, consistently outstanding results. HP ColorSphere toner is tuned with the printing system to optimise quality and reliability for higher productivity and lower printing costs.</p>
<p><strong>Features:</strong></p>
<ul>
<li>HP 644 LaserJet Printing Supplies with HP ColorSphere Toner deliver sharp black and brilliant colour every time you print. Improved gloss enables a dynamic range of bright, brilliant and more intense colour.</li>
<li>Quick, easy, more productive. HP ColorSphere toner enables fast, high-quality printing. HP Smart technology<sup>1</sup><span></span>in HP supplies interacts with the printer to consolidate needed supplies into a single order. You choose the reseller and order online.<sup>2</sup>
</li>
<li>HP 644 LaserJet Printing Supplies with HP Smart printing technology<sup>1</sup><span></span>enable the cartridges and the printer to make adjustments that optimise print quality and reliability - and provide a lower overall cost of printing.</li>
</ul>
<br><br><br>
</div>
<div class=""container"" id=""tab2C"">
<strong>Supply Type:</strong> Toner<br> <strong>Page Yield Per Package (Up to):</strong> 12,000 <br> <strong>Cartridge Yield Type:</strong> Standard<br> <strong>Ink/Toner Cartridge Type:</strong> Original<br> <strong>Ink/Toner Color:</strong> Black<br> <strong>Ink/Toner Pack Size:</strong> 1/Pack<br> <strong>Wide Format Compatibility:</strong> No</div>
<div class=""container"" id=""tab3C"">
<strong>For use with:</strong><br><br>
<ul>
<li><span>HP Color LaserJet CM4730 Multifunction Printer(CB480A)</span></li>
<li>
<strong> </strong><span>HP Color LaserJet CM4730f Multifunction Printer(CB481A)</span>
</li>
<li>
<span> </span><span>HP Color LaserJet CM4730fm Multifunction Printer(CB483A)</span>
</li>
<li>
<span> </span><span>HP Color LaserJet CM4730fsk Multifunction Printer(CB482A)</span>
</li>
<li>
<strong> </strong><span>HP Color LaserJet 4730 Multifunction Printer(Q7517A)</span>
</li>
<li>
<span> </span><span>HP Color LaserJet 4730x MFP(Q7518A)</span>
</li>
<li>
<span> </span><span>HP Color LaserJet 4730xm MFP(Q7520A)</span>
</li>
<li>
<span> </span><span>HP Color LaserJet 4730xs MFP(Q7519A)</span>
</li>
</ul>
<br><br><br>
</div>
<!-- split -->",HP
copy-of-locker-9,LOCKER,<p>STEEL 27 COMP WITH LOCK<br><strong>Model no:</strong> CC-3B9A<br><strong>Brand:</strong> ASTERS <br><strong>ALU:</strong> 6947<br><strong>Color:</strong> GREY</p>,None
copy-of-locker-8,LOCKER,<p>STEEL 20 COMP WITH LOCK<br><strong>Model no:</strong> CC-4B5A<br><strong>Brand:</strong> ASTERS <br><strong>ALU:</strong> 6946<br><strong>Size:</strong> 3'x1'x6'<br><strong>Color:</strong> GREY</p>,None
copy-of-locker-7,LOCKER,<p>STEEL 10 COMP WITH LOCK<br><strong>Model no:</strong> CC-2B5A<br><strong>Brand:</strong> ASTERS <br><strong>ALU:</strong> 6945<br><strong>Size:</strong> 3'x1'x6'<br><strong>Color:</strong> GREY</p>,None
copy-of-locker-6,LOCKER,<p>STEEL 18 COMP WITH LOCK<br><strong>Model no:</strong> CC-C18<br><strong>Brand:</strong> ASTERS <br><strong>ALU:</strong> 6944<br><strong>Size:</strong> 3'x1'x6'<br><strong>Color:</strong> GREY</p>,None
